brand,aspect,sentiment,template_response,status
,body-parts,positive,We are happy that the product had a positive effect on your pets physical appearance.,R
,competitors-others,negative,We try to provide as competitive rates as we can when compared to our competitors!,R
,competitors-others,positive,Glad that we could been the competitors.,R
,competitors,negative,We make sure that we are always competitively ahead of everyone else.,R
,competitors,positive,Happy to know that we are better than the competition.,R
,complementary,negative,We regret that you didn't like the complementary item.,R
,complementary,negative,Our gifts are a way to appreciate our customers loyalty towards to us.,R
,complementary,negative,The goodies from us are a small token of appreciation.,R
,complementary,negative,Complementary items for us are a way to thank our beloved customers.,R
,complementary,positive,We are happy that our little present was liked by you!,R
,customer-care,negative,Serving our customers is our first priority.,R
,customer-care,negative,Our customer care is always dedicated on helping our esteemed customers we regret that it couldn't meet your expectations.,R
,customer-care,negative,"We are always attentive while listening to our customers and helping them out, regret we couldn't live upto the mark this time around.",R
,customer-care,negative,"We have been always attentive while hearing our customers and helping them out, regret we couldn't live upto the potential on this occasion.",R
,customer-care,negative,Our customer support is constantly committed on helping our regarded clients we regret that it couldn't live up to your desires.,R
,customer-care,negative,"We are constantly mindful while tuning in to our customers and helping them out, regret we couldn't live upto the mark this time around.",R
,customer-care,positive,Glad that you liked our customer care.,R
,deals-offers,negative,"Our deals and prices are the best available, we hope you can avail more in the future.",R
,deals-offers,negative,We try and provide the best deals and prices to our esteemed customers.,R
,deals-offers,negative,"Our deals and prices are the best accessible, we trust you can benefit more later on.",R
,deals-offers,negative,We attempt and give the best deals and prices to our regarded clients.,R
,deals-offers,positive,Glad that you liked the deal!,R
,death,negative,We are deeply saddened to hear about this.,R
,delivery-charges,negative,The extra delivery charges help us get the product to you quickly.,DR
,delivery-charges,negative,"Extra delivery charges are for us to mitigate the transport cost. If you want to avoid them in the future, you can buy our products of worth Rs. 500 which will give you free shipping.",DR
,delivery-charges,negative,"When items are purchased in small quantities, it becomes essential for us to charge us for the delivery.",DR
,delivery-charges,negative,Please place orders of worth 500 or more to ensure you are not charged for the shipping.,DR
,delivery-charges,negative,"Shipping costs are really essential for us to keep the rates competitive, if you want to get rid of them please place orders worth more than 500.",DR
,delivery-charges,negative,"We always try and charge minimal delivery charges, but still if you want to get rid of them place order worth greater than Rs. 500.",DR
,delivery-charges,negative,"Transit costs are always separate from product prices and charged as part of our delivery services, if you want to avoid them please place order of more than Rs. 500.",DR
,delivery-charges,negative,The additional conveyance charges enable us to get the item to you rapidly.,DR
,delivery-charges,negative,"Additional conveyance charges are for us to moderate the vehicle cost. In the event that you do not want them later on, you can purchase our items of worth Rs. 500 which will give you free transporting.",DR
,delivery-charges,negative,"At the point when products are bought in little amounts, it  is essential for us to charge us for the conveyance.",DR
,delivery-charges,negative,It would be ideal if you put requests of worth at least 500 to guarantee you are not charged for the delivery.,DR
,delivery-charges,negative,"Delivery costs are extremely fundamental for us to keep the rates aggressive, on the off chance that you need to avoid them please put orders worth more than 500.",DR
,delivery-charges,negative,"We generally attempt and charge negligible conveyance charges, yet at the same time on the off chance that you need to get rid of them put orders worth more than Rs. 500.",DR
,delivery-charges,negative,"Travel costs are constantly separate from item costs and charged as a component of our conveyance administrations, in the event that you need to keep away from them please put orders of more than Rs. 500.",DR
,delivery-charges,negative,The excess delivery charges allow us to get the product to you quickly.,DR
,delivery-charges,negative,"Extra delivery charges are for us to mitigate the transport cost. In order to stay away from them down the road, you can purchase our products of worth Rs. 500 which will provide you with free delivery.",DR
,delivery-charges,negative,"When products are ordered in small quantities, it is important for us to charge us for that delivery.",DR
,delivery-charges,negative,Please place orders of worth 500 or higher to be sure you aren't charged for the shipping.,DR
,delivery-charges,negative,"Shipping costs are really required for us to maintain the rates competitive, if you wish to eliminate them please place orders more significant than Rs. 500.",DR
,delivery-charges,negative,"We always make an attempt to charge minimal delivery charges, however if you wish to make them go away place orders in excess of Rs. 500.",DR
,delivery-charges,negative,"Transit costs are always outside of product prices and charged within our delivery services, if you wish to avoid them please place order of more than Rs. 500.",DR
,delivery-charges,positive,We are happy that you liked our delivery charges policy!,R
,delivery-executive,negative,"Our delivery executives are generally very professional, we apologise for the inconvenience caused by them.",DR
,delivery-executive,negative,"Our delivery personnel take great care while delivering the products, regret inconvenience caused by them.",DR
,delivery-executive,positive,Our delivery network gives priority to getting the product timely to our customers. Glad that you are happy with the delivery.,R
,delivery,negative,We take utmost care while delivering the products both in terms of time and safety.,DR
,delivery,negative,We take most outrageous care while passing on the things both to the extent time and security.,DR
,delivery,negative,We take most ludicrous care while passing on the things both to the degree time and security.,DR
,delivery,negative,We take utmost care at the same time as delivering the goods each in phrases of time and safety.,DR
,delivery,negative,We take utmost care at the equal time as turning in the goods every in terms of time and protection.,DR
,delivery,negative,We take absolute care at the equivalent time as handing over the merchandise each regarding time and assurance.,DR
,delivery,negative,We take sheer care at the comparable time as giving over the stock each with respect to time and confirmation.,DR
,delivery,negative,We always hate when that happens and promise to make your shopping experience as smooth as possible.,DR
,delivery,negative,We abhor when that happens and assurance to influence your shopping to involvement as smooth as could sensibly be normal.,DR
,delivery,negative,"We are very disappointed to read your experience. Whilst an apology will regrettably not alter the outcome of your experience regarding our delivery, we do extent it will all sincerity.",DR
,delivery,negative,"We are exceptionally disillusioned to peruse your experience. While an expression of remorse will deplorably not adjust the result of your experience with respect to our conveyance, we do degree it will all truthfulness.",DR
,delivery,negative,"We value ourselves in delivering the products on time and safely. So, we trust you will give us a chance to correct this misstep.",DR
,delivery,negative,"We pride ourselves in maintaining the highest quality standards for our customers. So, we hope you will give us an opportunity to rectify this mistake.",DR
,delivery,positive,Our delivery network gives priority to getting the product timely to our customers. Glad that you are happy with the delivery.,R
,dental-health,negative,Our products contains Phosphorus and Calcium which  helps in optimum development of Bone and Teeth of the dog. We hope that you will find our product useful in the future.,R
,dental-health,negative,Our products contains Phosphorus and Calcium which works well for optimum {development of|growth and development of Bone and Teeth of your pet. Hopeful that you will find our product useful in the foreseeable future.,R
,dental-health,negative,Our items contains Phosphorus and Calcium which helps in ideal improvement of Bone and Teeth advancement of the puppy. We trust that you will discover our item valuable later on.,R
,dental-health,negative,Our product contains Phosphorus and Calcium which helps in perfect change of Bone and Teeth progression of the puppy. We hope that you will find the product important later on.,R
,dental-health,negative,"We work closely with the experts at the WALTHA Centre for Pet Nutrition to develop great quality, nutritious food that increases the oral health of the dogs. Please try our products specially designed for improving the oral healh of the dog.",R
,dental-health,negative,"We work closely with the specialists at the WALTHA Center for Pet Nutrition to create awesome quality, nutritious sustenance that increases the oral soundness of the pets. If it's not too much trouble attempt our items extraordinarily intended for enhancing the oral health of the teeth.",R
,dental-health,negative,"We work closely with the specialists at the WALTHA Center for Pet Nutrition to make awesome quality, nutritious sustenance that enhances the oral soundness of the dogs. If it's not excessive trouble attempt our items extraordinarily created for improving the wellness of the teeth.",R
,dental-health,negative,"We are sure that if you try our Dog Dental Care products like DenatStix, you will find them worth it and they will decrease your dogs dental problems. DentaStix efficacy is delivered by a unique combination of a special cleaning texture and active ingredients. Gentle abrasive texture helps remove plaque, thereby reducing tartar build-up. Sustained chewing stimulates saliva flow, which helps wash away any debris. Dentastix contains special ingrdients Sodium Tripolyphosphate & Zinc Sulphate help to slow down build up and accumation of tartar. Denatstix is clinically Proven to reduce Plaque & tartar by up to 80% when used daily and is developed by WALTHAM the worlds leading authority on Pet Care & Nutrition.",R
,dental-health,negative,"As found by our research team that every 4 out of 5 of dogs over the age of 3 years have gum disease. This is caused by plaque and tartar build-up around the gum line, which can be reduced by an effective dental care routine. No kind of food can be responsible for that. I would suggest you to try our Dog Dental Care products and routine to give your dog a better dental health.",R
,dental-health,negative,"As found by our research group that each 4 out of 5 of dogs beyond 3 years have gum sickness. This is caused by plaque and tartar developed around the gum line, which can be decreased by a compelling dental care schedule. No sort of nourishment can be in charge of that. I would recommend you to attempt our Dog Dental Care items and routine to give your dog a superior dental wellbeing.",R
,dental-health,negative,"As studied by our research amass that every 4 out of 5 of dogs past 3 years of age years have gum affliction. This is caused by plaque and tartar created around the gum line, which can be diminished by a convincing dental care plan. No kind of food can be accountable for that. I would prescribe you to try our Dog Dental Care things and routine to give your dog a predominant dental prosperity.",R
,dental-health,negative,"As discovered by our research group that 4 of every 5 dogs beyond 3 years have gum sickness. This is because of the plaque and tartar developed around the gum line, that can be decreased by a compelling dental hygiene| schedule. No type of nourishment can be in responsible that.I would suggest you to attempt our Dental Treatments items and routine to provide your dog an exceptional dental wellbeing.",R
,dental-health,negative,"We know how important is the dental health for any pet , so we make sure to add ingedients that freshen breath and reduce VSCs that cause bacteria in the dog's mouth.",R
,dental-health,negative,#NAME?,R
,dental-health,negative,"As food is always not the reason behind the health issues especially dental, one of the reasons can be as dog mouth do not contain bugs which are responsible for caries in man and also Dogs saliva is alkaline and has less amylase enzyme and more urea (that digest sugars) in saliva (when compare to man) How ever plaque and gums diseases are very common in dogs. Regular feeding of oral chews like dentastix also recommended for preventing dental plaque or tartar",R
,dental-health,negative,Please keep one thing in mind that occasional feeding of snacks/treats like ice creams or cakes cause no harm as long as they do not contribute to more than 15 % of his energy requirement/food intake.,R
,dental-health,negative,Foods containing chocolate are toxic to dogs and large amount make them sick and some dogs may die eating chocolates.,R
,dental-health,negative,"As seen that dogs enjoy bones, and chewing bones is seen as a good way to exercise the dog's jaws, help to keep his teeth clean, and of course will keep him occupied for hours.",R
,dental-health,negative,"Please be careful when allwoing your dog to chew on bones as your dog can also injure his teeth on bones, and when ingesting parts of bones he can develop constipation with the development of very hard faeces that are difficult and painful to pass",R
,dental-health,positive,Happy to know that the teeth are glowing!,R
,display-image,negative,The difference in the image might be due to the lightning effect while the picture was taken. Rest assured the product delivered are 100% original and as displayed.,R
,display-image,negative,"The products are exactly the same are displayed in the image, the slight difference might be due to the way the photograph was taken.",R
,display-image,negative,"Our images contain the product we are selling, please be assured that there's difference between them.",R
,display-image,negative,"Images are a way for us to show what we are offering, we wouldn't forge them, please be convinced that they are what we sent to you!",R
,display-image,positive,The images we show are exactly as they appear!! Happy that you too felt the same! :),R
,dog-user-breed,negative,We are sorry that you didn't like the product.,R
,dog-user-breed,negative,We apologize for the product not being upto your standards. We take utmost care while making them.,R
,dog-user-breed,negative,"We are sorry that the product didn't meet your expectations. You should try out our other products, we are confident that you'll end up liking them!",R
,dog-user-breed,negative,Our priority is to make sure our customers have a great experience with our products! Please let us know how we can improve.,R
,dog-user-breed,positive,Thanks a lot for your positive feedback! We are happy that your pet likes pedigree!,R
,ease-of-intake,negative,"Every product of pedigree under go series of tests on safety, digestibility and palatability before released in to the market. The palatability tests are done in a consumer panel having more than 300 dogs from pet owners.",R
,ease-of-intake,negative,We include vegetable derivatives and cereals in our products to optimise the transit time of food through the gut. This supports the necessary absorption of nutrients through the digestive tract.,R
,ease-of-intake,negative,"Cereals such as wheat, corn and rice are a source of carbohydrate. Scientific research shows that the cereals in our food are beneficial, as a source of energy from carbohydrates, as well as fibre to promote a healthy digestive tract.",R
,ease-of-intake,negative,All our products are highly digestible which can only be achieved with good quality ingredients and no fillers.,R
,ease-of-intake,negative,We have strict specifications for the ingredients we use in our pet foods. We only purchase ingredients from suppliers that meet our rigorous approval process. All our pet foods must meet strict digestibility targets.,R
,ease-of-intake,negative,"Every product of pedigree under go number of tests on safety, digestibility and palatability before being released in the market. The palatability tests are carried out in a consumer panel having over 300 dogs from dog owners.",R
,ease-of-intake,negative,"Cereals for example wheat, corn and rice contain carbohydrate. Scientific research signifies that the cereals within our food are beneficial, as an origin of energy from carbohydrates, in addition to fibre in promoting a healthy gastrointestinal system",R
,ease-of-intake,positive,That's great to hear that pedigree is easily digestible.,R
,effect-on-stomach,negative,"Please take care of your pet's stomach. At pedigree, we go through intensive tests and processes before launching the product, the bad stomach might be due to some other things.",R
,effect-on-stomach,negative,"Some pet parents offer their pets human Pepto-bismol or Famotidine (Pepcid) for an upset tummy. These over the counter drugs can be safe, if administered minimally, at the proper dose. Be sure to ask your vet what the dosage should be for your dog.",R
,effect-on-stomach,positive,Glad that your pet's tummy is healthy.,R
,etailers,negative,Etailer and the sellers take great care of the product.,DR
,etailers,negative,Etailer is always committed towards providing the best experience.,DR
,etailers,negative,Regret that the Etailer service wasn't as expected. Will try and further improve ourselves.,DR
,etailers,positive,We are happy that the you liked the service by Amazon and the seller.,R
,feedback-request-3stars,negative,"Please provide us with some feedback, so that we can work on improving the products further.",R
,feedback-request-4stars,negative,"Please provide us with some feedback, so that we can work on improving the products further.",R
,feedback-request,negative,Please provide us with further information which can help us better the product.,R
,feedback-request,negative,Can you please tell us what went wrong with product.,R
,feedback-request,negative,It would be really helpful if you could provide us with more information.,R
,feedback-request,negative,Your feedback will be really valuable in serving you better.,R
,feedback-thanks,negative,"Dear customer name, Thanks for taking time in providing the feedback.",R
,feedback-thanks,negative,"Dear customer name, Thanks for your valuable feedback.",R
,feedback-thanks,negative,"Dear customer name, We appreciate you taking time to write to us.",R
,feedback-thanks,negative,"Dear customer name, Your feedback will definitely help us, thanks for writing.",R
,feedback-thanks,negative,"Dear customer name, Your input will help us, thanks for writing.",R
,feedback-thanks,negative,"Dear customer name, We value your feedback and thank you for taking time in writing.",R
,feedback-thanks,negative,"Dear customer name, Thanks for the feedback, it will certainly help us improve.",R
,feedback-thanks,negative,We take your valuable words positively.,R
,feedback-thanks,positive,Thanks for taking time in providing the feedback.,R
,feedback-thanks,positive,Thanks for your valuable feedback.,R
,feedback-thanks,positive,We appreciate you taking time to write to us.,R
,feedback-thanks,positive,"Your feedback will definitely help us, thanks for writing.",R
,feedback-thanks,positive,"Your input will help us, thanks for writing.",R
,feedback-thanks,positive,We value your feedback and thank you for taking time in writing.,R
,feedback-thanks,positive,"Thanks for the feedback, it will certainly help us improve.",R
,feedback-thanks,positive,We take your valuable words positively.,R
,food-condition,negative,"We regret that the food wasn't in the right condition, we will not repeat this and regret the incovenience it has caused.",R
,food-condition,positive,Happy to know that the food condition was good.,R
,food-eatability,negative,The food is of high quality and made in such a way that is easily eatable!,R
,food-eatability,negative,Pedigree products are tasty dog chews rich in nutritions specifically designed for dogs.,R
,food-eatability,negative,Pedigree chews are nutritionally complete and balanced for a wholesome snack.,R
,food-eatability,negative,Pedigree chews are specially formulated to be highly digestible.,R
,food-eatability,positive,Glad to know that the food easily eatable!,R
,food-ingredients,negative,The ingredients we use are carefully picked such that they blend well together for your dog.,R
,food-ingredients,negative,The ingredients we use are a careful blend to make sure they get along right.,R
,food-ingredients,negative,"We are sorry that the ingredients couldn't get it right for your dog, please try our other products we are sure your dog will like them.",R
,food-ingredients,negative,All our products are highly digestible which can only be achieved with good quality ingredients and no fillers.,R
,food-ingredients,negative,"All the ingredients we use in pet food are there to fulfil a specific role such as providing nutrition, improving safety, enjoyment or owner satisfaction.",R
,food-ingredients,negative,We have strict specifications for the ingredients we use in our pet foods. We only purchase ingredients from suppliers that meet our rigorous approval process.,R
,food-ingredients,negative,It is Mars policy never to use low quality ingredients. We have strict specifications for our recipes and will never compromise on quality.,R
,food-ingredients,negative,"The exact ingredients which affect a pet will vary between individuals, just as with people. Such pets may benefit from special diets with selected protein and carbohydrate sources, fed under veterinary advice, in order to avoid the specific ingredients which trigger their allergic response. However, such cases are in the minority and most dogs enjoy eating a variety of ingredients without any problems.",R
,food-ingredients,negative,The ingredients list cannot be used to assess the quality of a dog food. The ingredients used should be of very high safety and quality as laid down by the regulatory bodies.,R
,food-ingredients,negative,"The animal based materials used in pet foods come from animals which have passed veterinary inspections as fit for human consumption, but which are surplus to the requirements of the human food industry. These materials meet the very high safety and quality criteria laid down in the Animal By-Products Regulations Members only use materials from species which are accepted in the human food chain.",R
,food-ingredients,negative,"The plant based materials some manufacturers may use include: cereals, cereal flour, pulses, root vegetables and seeds. In general, Pedigree contains whole grain cereals, meat and chicken by-products, cereal and vegetable by-products, proteins, vegetable oils, iodised salt,essential vitamins, minerals, preservatives, antioxidants and flavours.",R
,food-ingredients,negative,"Ingredients matter to many pet owners rather than pets, resulting from some marketing claims or adverstiment ( For eg., does not contain soy, corn, or wheat) The final nutrient profile of a pet food is most important factor in meeting your pet‰Ûªs daily nutritional needs. Be assured our ingredients are of high quality and palatable.",R
,food-ingredients,negative,The ingredients we utilize are carefully picked with the end goal that they mix well together for your dog.,R
,food-ingredients,negative,The ingredients we utilize are a watchful mix to ensure they get along right.,R
,food-ingredients,negative,"We are sad that the fixings couldn't take care of business for your dog, please attempt our different items we are certain your canine will like them.",R
,food-ingredients,negative,Every one of our items are very edible which must be accomplished with great quality ingredients and no fillers.,R
,food-ingredients,negative,"Every one of the fixings we use in pet nourishment are there to satisfy a particular part, for example, giving sustenance, enhancing safety, pleasure or owner fulfillment.",R
,food-ingredients,negative,We have strict policies for the ingredients we use in our pet product. We just buy fixings from providers that meet our thorough endorsement process.,R
,food-ingredients,negative,It is Mars policy never to utilize low quality ingredients. We have strict details for our formulas and will never bargain on quality.,R
,food-ingredients,negative,"The animal based materials utilized as a part of pet nourishments originate from creatures which have passed veterinary examinations as fit for human utilization, however which are surplus to the prerequisites of the human food industry. These materials meet the high wellbeing and quality criteria set down in the Animal By-Products Regulations Members just utilize materials from species which are acknowledged in the human natural way of life.",R
,food-ingredients,negative,"The plant based materials a few makers may utilize include: grains, oat flour, beats, root vegetables and seeds. Generally, Pedigree contains entire grain oats, meat and chicken side-effects, oat and vegetable side-effects, proteins, vegetable oils, iodised salt,essential vitamins, minerals, additives, cancer prevention agents and flavors.",R
,food-ingredients,negative,"Ingredients matter to numerous pet proprietors as opposed to pets, coming about because of some showcasing cases or advertisement ( For eg., does not contain soy, corn, or wheat) The final supplement profile of a pet food is most vital factor in meeting your pet's every day nourishing requirements. Be guaranteed our ingredients are of high caliber.",R
,food-ingredients,positive,Happy to know the ingredients carefully picked by us are liked by you guys!,R
,food-quality,negative,We take utmost care in ensuring the top most quality of our food.,R
,food-quality,negative,"Our pet food is designed to provide the nutrients your dog needs, and in addition, contain ingredients to support the five signs of good health.",R
,food-quality,negative,We know it is vital that our dog food smells as fresh and appetising to dogs as possible. We only use the best quality approved ingredients to ensure our products are not only healthy but also very appealing to dogs.,R
,food-quality,negative,We make sure that we live upto your expectations as all our raw materials are sourced from approved suppliers and our factories are independently inspected to the same standard as those used to produce human food.,R
,food-quality,negative,"We regret that you are facing issues with the quality of the product, we will take this into consideration and hope to serve you better in future.",R
,food-quality,negative,We try to serve with the best taste and the healthiest food for your dogs.,R
,food-quality,negative,We take most extreme care in guaranteeing the best most nature of our nourishment.,R
,food-quality,negative,"Our pet nourishment is intended to give the supplements your dogs needs, and moreover, contain ingredients to help the five signs of good wellbeing.",R
,food-quality,negative,We know it is key that our dog nourishment smells as crisp and mouth-watering to dogs as could reasonably be expected. We just utilize the best quality affirmed ingredients to guarantee our items are solid as well as exceptionally good to dogs.,R
,food-quality,negative,We ensure that we live upto your desires as all our crude materials are sourced from endorsed providers and our industrial facilities are autonomously reviewed to an indistinguishable standard from those used to deliver human sustenance.,R
,food-quality,negative,"We regret that you are confronting issues with the quality of the item, we will contemplate this and want to serve you better in future.",R
,food-quality,negative,We try to present with the best taste and the most beneficial nourishment for your dogs in terms of both quality and standards.,R
,food-quality,negative,We take utmost care in ensuring the superior most quality of our food.,R
,food-quality,negative,"Our dog food was created to provide you with the nutrients your dog needs, and likewise contain ingredients to support the 5|5 signs of a healthy body.",R
,food-quality,negative,We realize it is essential that our dog food smells as fresh and appetising to dogs as possible. We only use the highest quality approved ingredients to ensure our products aren't just healthy but also very appealing to dogs.,R
,food-quality,negative,We ensure that we live upto your expectations as all of our raw materials are sourced from approved suppliers and our factories are independently inspected on the same standard as those employed to produce human food.,R
,food-quality,negative,"We regret that you're facing problems with the quality of the product, we'll keep this in mind and aspire to serve you better from now on.",R
,food-quality,negative,We strive to provide with the best taste along with the healthiest food for your dogs.,R
,food-quality,positive,Glad that you felt the food quality is good.,R
,food-shapes,negative,We design shapes such that they look great and are easily digestable for your dog. Please look at our other products.,R
,food-shapes,negative,We have all different shapes and sizes you can try difefrent ones.,R
,food-shapes,positive,Happy to that the shapes are liked by your pet!,R
,food-type,negative,We regret that the food type didn't suit your dog!,R
,food-type,positive,We are happy that the food type suited your dog!,R
,health-allergy,negative,"A small percentage of the pet population suffers from allergies, most of which are not related to diet. The majority of pet allergies are in response to environmental factors such as pollen, dust, fleas or mites.",R
,health-allergy,negative,"Food allergies in pets are relatively rare and are estimated to account for less than 10% of all allergies. However, in the same way that some people cannot tolerate certain dietary components such as wheat gluten or cow‰Ûªs milk protein, a small number of pets have allergies or dietary sensitivity to foods such as beef, wheat or dairy.",R
,health-allergy,negative,"If you're worried your dog might have a food allergy, take them to see your vet. Your vet will be able to help diagnose any problems.",R
,health-allergy,negative,Food allergies occur because of a defect in an animal‰Ûªs immune system; they are not caused by a particular problem with the diet. Changing to another brand of pet food rarely helps as many ingredients are common to many pet foods.,R
,health-ill,negative,"We are deeply saddened to hear about your dogs adverse health, please take good care. Be assured its not because of the food.",R
,health-ill,negative,"We are profoundly disheartened to hear of your pets unfriendly wellbeing, please take great care. Be guaranteed its not as a result of the sustenance.",R
,health-ill,negative,"We are deeply concerned to hear about your dogs health, please take good care. Be assured its not because of the food.",R
,health-ill,negative,"We are profoundly worried to find out about your dogs wellbeing, please take great care. Be guaranteed its not due to the sustenance.",R
,health-toxic,negative,"Every serving of Pedigree ensures that your dog is provided with all the vitamins, minerals, essential fatty acids, proteins, carbohydrates and fibre your dog needs for healthy overall development. We are pretty sure its not because of the food, please take good care of your pets health.",R
,health-toxic,negative,"Every serving of Pedigree ensures that your dog is provided with all the vitamins, minerals, needed rich fatty acids, proteins, carbohydrates and fibre your dog needs for comprehensive athletic and health development. We are pretty sure its not because of the food, please take good care of your pets well-being.",R
,health-toxic,negative,"Each serving of Pedigree guarantees that your dog is given every one of the vitamins, minerals, fundamental unsaturated fats, proteins, starches and fibre your puppy requirements for solid health advancement. We are almost certain its not as a result of the sustenance, please take great care of your pets wellbeing.",R
,health-toxic,negative,There is stringent legislation in place to ensure that pet food is safe and of a high quality which makes sure there no health problems caused due to the food. Further more we do intensive studies on pet nutrition.,R
,health-toxic,negative,The government has placed strict laws to ensure that pet food is safe and of a high quality which makes sure there no health problems caused due to the food. Further more we do comprehensive studies on pet nourishment.,R
,health-toxic,negative,"The administration has put strict laws to guarantee that pet nourishment is protected and of a great quality which ensures there no health issues caused because of the food. Additionally, more we do exhaustive investigations on pet food.",R
,health-toxic,negative,There is stringent enactment set up to guarantee that pet food is protected and of high quality which ensure there no medical issues caused because of the food.Further more we do intensive studies on pet nutrition.,R
,health-vomit,negative,"Vomiting serves a vital function in dogs, many of whom have a well-deserved reputation for eating just about anything. Throwing up can be the body‰Ûªs way of correcting a mistake. Please consult a vet, it can be a serious problem.",R
,health-vomit,negative,"If your adult dog (not applied to puppies, please take puppies to the doctor as soon as possible) has only vomited once or twice and seems to feel pretty good,take away all sources of food and water for six to eight hours. If your dog does not vomit during that time, offer a small amount of water. If your dog can hold that down, gradually reintroduce larger amounts of water.",R
,health-vomit,negative,"Vomiting can be caused due to several reason such as lethargy & depression, abdominal pain, decreased urination, if its a puppy please take to the vet immediately, else for a adult dog monitor carefully and if the vomit continues to happen visit the vet.",R
,health,negative,"Every serving of Pedigree ensures that your dog is provided with all the vitamins, minerals, essential fatty acids, proteins, carbohydrates and fibre your dog needs for healthy overall development. We are pretty sure its not because of the food, please take good care of your pets health.",R
,health,negative,"Every serving of Pedigree ensures that your dog is provided with all the vitamins, minerals, needed rich fatty acids, proteins, carbohydrates and fibre your dog needs for comprehensive athletic and health development. We are pretty sure its not because of the food, please take good care of your pets well-being.",R
,health,negative,"Each serving of Pedigree guarantees that your dog is given every one of the vitamins, minerals, fundamental unsaturated fats, proteins, starches and fibre your puppy requirements for solid health advancement. We are almost certain its not as a result of the sustenance, please take great care of your pets wellbeing.",R
,health,negative,There is stringent legislation in place to ensure that pet food is safe and of a high quality which makes sure there no health problems caused due to the food. Further more we do intensive studies on pet nutrition.,R
,health,negative,The government has placed strict laws to ensure that pet food is safe and of a high quality which makes sure there no health problems caused due to the food. Further more we do comprehensive studies on pet nourishment.,R
